Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,RSI14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry,CandidateStop,TrailingStop,InPosition,EntryDate,ExitSignal,ExitPrice,ExitReason,TradeId,HoldingDays,PnL_pct
2021-05-18,898.25,908.04,894.39,901.4,12064918,910.94,864.24,18.1,55.08,857.42,885.41,927.04,927.04,0,,,857.42,,0,,0,,,,,
2021-05-19,897.79,914.32,894.17,905.52,16317002,910.21,864.24,18.24,56.54,859.98,885.04,927.04,927.04,0,,,859.98,,0,,0,,,,,
2021-05-20,905.91,911.8,898.25,900.24,11422532,909.46,864.24,17.91,54.12,856.8,884.93,927.04,927.04,0,,,856.8,,0,,0,,,,,
2021-05-21,903.24,911.22,900.51,908.02,10785605,908.75,864.24,17.41,57.03,862.14,885.21,927.04,927.04,0,,,862.14,,0,,0,,,,,
2021-05-24,910.49,911.31,898.7,900.36,8551760,907.86,864.24,17.07,53.43,857.43,884.95,927.04,927.04,0,,,857.43,,0,,0,,,,,
2021-05-25,905.23,905.5,888.73,890.15,14780102,906.87,864.24,17.05,48.99,850.86,884.31,927.04,927.04,0,,,850.86,,0,,0,,,,,
2021-05-26,895.53,897.57,891.13,893.28,7480204,906.16,864.24,16.36,50.36,853.34,884.13,927.04,927.04,0,,,853.34,,0,,0,,,,,
2021-05-27,893.4,903.69,889.75,896.03,26819294,905.56,864.24,16.19,51.58,855.23,885.11,927.04,927.04,0,,,855.23,,0,,0,,,,,
2021-05-28,902.33,954.47,902.33,949.85,56469931,905.31,864.24,19.21,68.13,887.93,887.57,954.47,927.04,1,949.85,887.93,887.93,887.93,1,2021-05-28,0,,,51,,
2021-05-31,953.11,993.79,945.43,979.55,59124142,905.32,864.24,21.29,73.51,905.7,890.84,993.79,954.47,0,,,905.7,905.7,1,2021-05-28,0,,,51,,
2021-06-01,982.13,998.46,973.29,983.45,28013832,905.46,864.24,21.57,74.13,908.03,894.42,998.46,993.79,0,,,908.03,908.03,1,2021-05-28,0,,,51,,
2021-06-02,978.05,1001.86,978.05,998.12,24630162,905.74,864.24,21.73,76.36,917.38,898.94,1001.86,998.46,0,,,917.38,917.38,1,2021-05-28,0,,,51,,
2021-06-03,1007.07,1020.22,995.78,1001.92,23974257,906.03,864.24,21.92,76.92,919.71,903.61,1020.22,1001.86,1,1001.92,919.71,919.71,919.71,1,2021-05-28,0,,,51,,
2021-06-04,1004.26,1005.01,990.41,993.24,14468646,906.52,875.3,21.4,72.71,918.14,907.9,1020.22,1020.22,0,,,918.14,919.71,1,2021-05-28,0,,,51,,
2021-06-07,998.46,1016.59,990.75,1009.97,16336573,907.11,888.73,21.71,75.49,933.2,912.78,1020.22,1020.22,0,,,933.2,933.2,1,2021-05-28,0,,,51,,
2021-06-08,1009.61,1009.86,996.71,1004.17,9674735,907.72,888.73,21.11,72.73,929.86,916.97,1020.22,1020.22,0,,,929.86,933.2,1,2021-05-28,0,,,51,,
2021-06-09,1006.16,1007.07,978.48,986.21,11409161,908.17,888.73,21.64,64.8,917.92,919.78,1020.22,1020.22,0,,,917.92,933.2,1,2021-05-28,0,,,51,,
2021-06-10,994.56,1011.15,987.37,989.84,14155653,908.56,888.73,21.88,65.62,920.1,922.59,1020.22,1020.22,0,,,920.1,933.2,1,2021-05-28,0,,,51,,
2021-06-11,993.25,1013.77,991.97,1007.01,13762778,909.59,888.73,22.03,69.25,931.08,925.56,1020.22,1020.22,0,,,931.08,933.2,1,2021-05-28,0,,,51,,
