Date,Open,High,Low,Close,Volume,SMA150,DonchianLow15,ATR14,StopLoss,MA30,DonchianHigh20,DonchianHigh20_prev,BuyCall,EntryPrice,StopLoss_Entry
2024-09-02,491.19,491.19,458.81,463.14,294059,395.06,453.18,22.07,435.07,470.38,536.52,536.52,0,,
2024-09-03,477.54,479.38,464.24,473.86,146674,395.73,453.18,21.66,442.26,472.29,536.52,536.52,0,,
2024-09-04,468.28,477.19,464.34,471.61,113500,396.53,453.18,21.03,441.23,473.41,508.03,536.52,0,,
2024-09-05,475.75,487.7,473.01,476.94,168998,397.33,453.18,20.68,444.9,474.68,503.15,508.03,0,,
2024-09-06,480.93,514.8,476.25,507.58,698471,398.33,458.31,21.95,465.52,476.77,514.8,503.15,1,507.58,465.52
2024-09-09,514.26,533.04,509.32,520.88,505523,399.27,458.81,22.2,474.1,479.31,533.04,514.8,0,,
2024-09-10,522.38,523.72,494.58,497.32,375368,400.15,458.81,22.7,458.58,481.13,533.04,533.04,0,,
2024-09-11,500.11,508.13,492.19,495.48,169577,401.1,458.81,22.22,457.71,482.52,533.04,533.04,0,,
2024-09-12,495.53,521.08,495.53,505.74,309337,402.16,458.81,22.46,464.17,483.66,533.04,533.04,0,,
2024-09-13,505.69,513.31,497.87,499.81,108478,403.27,458.81,21.96,460.68,483.74,533.04,533.04,0,,
2024-09-16,514.11,525.81,499.46,520.13,154544,404.54,458.81,22.27,473.57,484.23,533.04,533.04,0,,
2024-09-17,521.08,546.04,508.8,526.32,373597,405.75,458.81,23.34,476.85,484.55,546.04,533.04,0,,
2024-09-18,531.07,533.81,516.64,524.58,162299,406.9,458.81,22.9,476.03,486.42,546.04,546.04,0,,
2024-09-19,529.07,531.22,505.01,512.2,107864,407.96,458.81,23.14,467.88,486.84,546.04,546.04,0,,
2024-09-20,515.39,523.08,512.05,520.23,108130,409.07,458.81,22.27,473.64,488.06,546.04,546.04,0,,
2024-09-23,523.98,531.22,519.09,523.78,150136,410.28,464.24,21.55,478.22,489.73,546.04,546.04,0,,
